timestamp,timestamp_iso,symbol,oi,ls_top_ratio,ls_global_ratio,funding_rate,source,status,error,collected_at
1785196800000,2026-07-28T00:00:00.000Z,NEARUSDT,46149120,1.157,,,api_heal_24h,partial,missing:funding,1785283829581
1785200400000,2026-07-28T01:00:00.000Z,NEARUSDT,46435841,1.1561,,,api_heal_24h,partial,missing:funding,1785283829581
1785204000000,2026-07-28T02:00:00.000Z,NEARUSDT,46518229,1.1245,,,api_heal_24h,partial,missing:funding,1785283829581
1785207600000,2026-07-28T03:00:00.000Z,NEARUSDT,46566148,1.1218,,,api_heal_24h,partial,missing:funding,1785283829581
1785211200000,2026-07-28T04:00:00.000Z,NEARUSDT,46601899,1.1231,,,api_heal_24h,partial,missing:funding,1785283829581
1785214800000,2026-07-28T05:00:00.000Z,NEARUSDT,46763449,1.151,,,api_heal_24h,partial,missing:funding,1785283829581
1785218400000,2026-07-28T06:00:00.000Z,NEARUSDT,46766511,1.1844,,,api_heal_24h,partial,missing:funding,1785283829581
1785222000000,2026-07-28T07:00:00.000Z,NEARUSDT,46775827,1.1749,,,api_heal_24h,partial,missing:funding,1785283829581
1785225600000,2026-07-28T08:00:00.000Z,NEARUSDT,46763121,1.1706,,,api_heal_24h,partial,missing:funding,1785283829581
1785229200000,2026-07-28T09:00:00.000Z,NEARUSDT,46744678,1.1805,,,api_heal_24h,partial,missing:funding,1785283829581
1785232800000,2026-07-28T10:00:00.000Z,NEARUSDT,46770666,1.1853,,,api_heal_24h,partial,missing:funding,1785283829581
1785236400000,2026-07-28T11:00:00.000Z,NEARUSDT,46827743,1.1844,,,api_heal_24h,partial,missing:funding,1785283829581
1785240000000,2026-07-28T12:00:00.000Z,NEARUSDT,46058813,1.2482,,,api_heal_24h,partial,missing:funding,1785283829581
1785243600000,2026-07-28T13:00:00.000Z,NEARUSDT,46212943,1.2477,,,api_heal_24h,partial,missing:funding,1785283829581
1785247200000,2026-07-28T14:00:00.000Z,NEARUSDT,45801386,1.2568,,,api_heal_24h,partial,missing:funding,1785283829581
1785250800000,2026-07-28T15:00:00.000Z,NEARUSDT,45795320,1.2584,,,api_heal_24h,partial,missing:funding,1785283829581
1785254400000,2026-07-28T16:00:00.000Z,NEARUSDT,45195094,1.2297,,,api_heal_24h,partial,missing:funding,1785283829581
1785258000000,2026-07-28T17:00:00.000Z,NEARUSDT,45291978,1.2282,,,api_heal_24h,partial,missing:funding,1785283829581
1785261600000,2026-07-28T18:00:00.000Z,NEARUSDT,45361955,1.2247,,,api_heal_24h,partial,missing:funding,1785283829581
1785265200000,2026-07-28T19:00:00.000Z,NEARUSDT,45475050,1.2065,,,api_heal_24h,partial,missing:funding,1785283829581
1785268800000,2026-07-28T20:00:00.000Z,NEARUSDT,45487329,1.2099,,,api_heal_24h,partial,missing:funding,1785283829581
1785272400000,2026-07-28T21:00:00.000Z,NEARUSDT,45768086,1.207,,,api_heal_24h,partial,missing:funding,1785283829581
1785276000000,2026-07-28T22:00:00.000Z,NEARUSDT,45691811,1.2022,,,api_heal_24h,partial,missing:funding,1785283829581
1785279600000,2026-07-28T23:00:00.000Z,NEARUSDT,45618559,1.1939,,,api_heal_24h,partial,missing:funding,1785283829581
1785283200000,2026-07-29T00:00:00.000Z,NEARUSDT,45678431,1.1983,,0.0001,forward_archive,ok,,1785283829581
1785366000000,2026-07-29T23:00:00.000Z,NEARUSDT,46467005,1.1844,,,api_heal_24h,partial,missing:funding,1785455260706
1785369600000,2026-07-30T00:00:00.000Z,NEARUSDT,46434964,1.182,,,api_heal_24h,partial,missing:funding,1785455260706
1785373200000,2026-07-30T01:00:00.000Z,NEARUSDT,46338305,1.1858,,,api_heal_24h,partial,missing:funding,1785455260706
1785376800000,2026-07-30T02:00:00.000Z,NEARUSDT,46323315,1.1964,,,api_heal_24h,partial,missing:funding,1785455260706
1785380400000,2026-07-30T03:00:00.000Z,NEARUSDT,46292932,1.1944,,,api_heal_24h,partial,missing:funding,1785455260706
1785384000000,2026-07-30T04:00:00.000Z,NEARUSDT,46302845,1.1891,,,api_heal_24h,partial,missing:funding,1785455260706
1785387600000,2026-07-30T05:00:00.000Z,NEARUSDT,46286406,1.1791,,,api_heal_24h,partial,missing:funding,1785455260706
1785391200000,2026-07-30T06:00:00.000Z,NEARUSDT,46114264,1.1725,,,api_heal_24h,partial,missing:funding,1785455260706
1785394800000,2026-07-30T07:00:00.000Z,NEARUSDT,45976728,1.1739,,,api_heal_24h,partial,missing:funding,1785455260706
1785398400000,2026-07-30T08:00:00.000Z,NEARUSDT,45911387,1.1758,,,api_heal_24h,partial,missing:funding,1785455260706
1785402000000,2026-07-30T09:00:00.000Z,NEARUSDT,45583374,1.1906,,,api_heal_24h,partial,missing:funding,1785455260706
1785405600000,2026-07-30T10:00:00.000Z,NEARUSDT,45369153,1.1711,,,api_heal_24h,partial,missing:funding,1785455260706
1785409200000,2026-07-30T11:00:00.000Z,NEARUSDT,45360862,1.1617,,,api_heal_24h,partial,missing:funding,1785455260706
1785412800000,2026-07-30T12:00:00.000Z,NEARUSDT,45467989,1.1612,,,api_heal_24h,partial,missing:funding,1785455260706
1785416400000,2026-07-30T13:00:00.000Z,NEARUSDT,45484649,1.1786,,,api_heal_24h,partial,missing:funding,1785455260706
1785420000000,2026-07-30T14:00:00.000Z,NEARUSDT,45614223,1.1697,,,api_heal_24h,partial,missing:funding,1785455260706
1785423600000,2026-07-30T15:00:00.000Z,NEARUSDT,45209654,1.1839,,,api_heal_24h,partial,missing:funding,1785455260706
1785427200000,2026-07-30T16:00:00.000Z,NEARUSDT,45180374,1.1786,,,api_heal_24h,partial,missing:funding,1785455260706
1785430800000,2026-07-30T17:00:00.000Z,NEARUSDT,45054961,1.1848,,,api_heal_24h,partial,missing:funding,1785455260706
1785434400000,2026-07-30T18:00:00.000Z,NEARUSDT,44905522,1.193,,,api_heal_24h,partial,missing:funding,1785455260706
1785438000000,2026-07-30T19:00:00.000Z,NEARUSDT,44760137,1.1753,,,api_heal_24h,partial,missing:funding,1785455260706
1785441600000,2026-07-30T20:00:00.000Z,NEARUSDT,44471128,1.1749,,,api_heal_24h,partial,missing:funding,1785455260706
1785445200000,2026-07-30T21:00:00.000Z,NEARUSDT,44326424,1.1734,,,api_heal_24h,partial,missing:funding,1785455260706
1785448800000,2026-07-30T22:00:00.000Z,NEARUSDT,44294266,1.1753,,,api_heal_24h,partial,missing:funding,1785455260706
1785452400000,2026-07-30T23:00:00.000Z,NEARUSDT,44100610,1.1796,,0.000016,forward_archive,ok,,1785455260706
1785456000000,2026-07-31T00:00:00.000Z,NEARUSDT,,,,,forward_archive,error,missing:oi|ls|funding;oi:Service unavailable from a restricted location according to 'b. Eligibility' in https://www.binance.com/en/terms. Please contact customer service if you believe you received this message in error.;ls:Service unavailable from a restricted location according to 'b. Eligibility' in https://www.binance.com/en/terms. Please contact customer service if you believe you received this message in error.;funding:Service unavailable from a restricted location according to 'b. Eligibility' in https://www.binance.com/en/terms. Please contact customer service if you believe you received this message in error.,1785456036472
1785463200000,2026-07-31T02:00:00.000Z,NEARUSDT,,,,,forward_archive,error,missing:oi|ls|funding;oi:Service unavailable from a restricted location according to 'b. Eligibility' in https://www.binance.com/en/terms. Please contact customer service if you believe you received this message in error.;ls:Service unavailable from a restricted location according to 'b. Eligibility' in https://www.binance.com/en/terms. Please contact customer service if you believe you received this message in error.;funding:Service unavailable from a restricted location according to 'b. Eligibility' in https://www.binance.com/en/terms. Please contact customer service if you believe you received this message in error.,1785463638363
1785474000000,2026-07-31T05:00:00.000Z,NEARUSDT,,,,,forward_archive,error,missing:oi|ls|funding;oi:Service unavailable from a restricted location according to 'b. Eligibility' in https://www.binance.com/en/terms. Please contact customer service if you believe you received this message in error.;ls:Service unavailable from a restricted location according to 'b. Eligibility' in https://www.binance.com/en/terms. Please contact customer service if you believe you received this message in error.;funding:Service unavailable from a restricted location according to 'b. Eligibility' in https://www.binance.com/en/terms. Please contact customer service if you believe you received this message in error.,1785477572443
1785484800000,2026-07-31T08:00:00.000Z,NEARUSDT,,,,,forward_archive,error,missing:oi|ls|funding;oi:Service unavailable from a restricted location according to 'b. Eligibility' in https://www.binance.com/en/terms. Please contact customer service if you believe you received this message in error.;ls:Service unavailable from a restricted location according to 'b. Eligibility' in https://www.binance.com/en/terms. Please contact customer service if you believe you received this message in error.;funding:Service unavailable from a restricted location according to 'b. Eligibility' in https://www.binance.com/en/terms. Please contact customer service if you believe you received this message in error.,1785488154296
